game_date,opponent,venue,inning_number,top_or_bottom,pitcher_name,pitcher_team,pitcher_lefty,batter_name,batter_team,batter_lefty,balls,strikes,outs_before,pitch_type_name,pitch_result,atbat_result,velo,pitch_locheight,pitch_locside,ball_in_play_direction,ball_in_play_distance,inplay_value,angle,atbat_result_id,autopitchtype,awayteam,ax_fts,ay_fts,az_fts,batter_team_id,batterside,bearing,carry_distance,carry_flight_time_s,contactpositionx,contactpositiony,contactpositionz,date,direction,exitspeed,external_id,game_key,gameuid,gorout_horizontal_location_intent,gorout_horizontal_location_result,gorout_score_horizontal,gorout_score_vertical,gorout_vertical_location_intent,gorout_vertical_location_result,hit_location,hitspinrate,hitter_external_id,hitter_internal_id,hittype,hometeam,inning,inning_pitch_number,inplay_value_id,korbb,lasttrackeddistance,league,level,man_on_first,man_on_second,man_on_third,outs,outsonplay,paofinning,performance_data_key,pfxx_in,pfxz_in,pitch_approach_h,pitch_approach_v,pitch_break_h_in,pitch_break_v_in,pitch_extension_ft,pitch_id,pitch_launch_h,pitch_launch_v,pitch_number,pitch_release_height_ft,pitch_release_side_ft,pitch_result_id,pitch_spin_axis,pitch_spin_rpm,pitch_spin_tilt,pitch_time_s,pitch_type,pitch_zone_speed_mph,pitchcall,pitcher_external_id,pitcher_internal_id,pitcher_team_id,pitcherset,pitcherthrows,pitchofpa,pitchuid,platelocheight,platelocside,playresult,positionatx,positionaty,positionatz,relspeed,runsscored,session_id,session_type,stadium,taggedpitchtype,time,timestamp,topbottom,tracking_type,vertbreak,vx_fts,vy_fts,vz,x0_ft,y,z0_ft
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,0,0,1,Fast Ball,Strike Looking,,85,2.500,0.000,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,6,0,,,,,False,False,False,,,,ph_28070036,,,,,,,,28070036,,,1,,,20,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:24:47 PM,1747527887,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,0,1,1,Fast Ball,Ball,,88,3.000,-0.200,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,7,0,,,,,False,False,False,,,,ph_28070043,,,,,,,,28070043,,,2,,,1,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:25:02 PM,1747527902,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,1,1,1,Change Up,Ball,,77,0.400,1.100,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,8,0,,,,,False,False,False,,,,ph_28070047,,,,,,,,28070047,,,3,,,1,,,,,11,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:25:13 PM,1747527913,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,2,1,1,Fast Ball,Ball,,85,3.300,0.300,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,9,0,,,,,False,False,False,,,,ph_28070061,,,,,,,,28070061,,,4,,,1,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:25:38 PM,1747527938,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,3,1,1,Fast Ball,Strike Swing and Miss,,86,2.500,0.400,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,10,0,,,,,False,False,False,,,,ph_28070066,,,,,,,,28070066,,,5,,,30,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:25:53 PM,1747527953,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Mason Rechner,Butler High School,False,3,2,1,Breaking Ball,Strike Looking,Strike Out,68,2.000,-0.400,0.00,0.00, -- ,,1,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661123,,,,11,0,,,,,False,False,False,,,,ph_28070079,,,,,,,,28070079,,,6,,,20,,,,,30,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:26:26 PM,1747527986,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Paxton Dwenger,Butler High School,False,0,0,2,Breaking Ball,Ball,,67,0.500,-0.900,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661120,,,,12,0,,,,,False,False,False,,,,ph_28070096,,,,,,,,28070096,,,1,,,1,,,,,30,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:27:03 PM,1747528023,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Paxton Dwenger,Butler High School,False,1,0,2,Fast Ball,Strike In Play,Error,88,2.000,-0.100,-37.30,104.60,Ground Ball,,6,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,5,,,661120,,,,13,20,,,,,False,False,False,,,,ph_28070105,,,,,,,,28070105,,,2,,,50,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:27:18 PM,1747528038,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Max Rubins,Butler High School,False,0,0,2,Fast Ball,Strike In Play,Fly Out,87,3.000,0.400,19.77,227.70,Fly Ball,,4,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,9,,,661105,,,,14,100,,,,,True,False,False,,,,ph_28070132,,,,,,,,28070132,,,1,,,50,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:28:22 PM,1747528102,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Charlie Valencic,Moeller,False,0,0,0,Fast Ball,Strike Looking,,85,1.900,-0.500,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554994,,,,1,0,,,,,False,False,False,,,,ph_28070562,,,,,,,,28070562,,,1,,,20,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:30:39 PM,1747528239,,Charted,,,,,,,
